stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
SBE;199311;61;4;59;834.6;66.3;-1.9;-14.5;8.0;76.1;4281
SBE;199312;57;23;55;830.6;80.3;-2.8;-12.4;9.6;74.6;5797
SBE;199401;63;122;58;832.1;246.6;-2.7;-15.8;6.8;73.5;5295
SBE;199402;98;119;61;831.1;111.0;-4.9;-16.0;4.0;77.4;4798
SBE;199403;170;96;43;837.9;29.9;2.5;-7.0;13.4;64.7;10201
SBE;199404;189;37;71;829.5;92.5;1.1;-8.8;16.1;71.5;6509
SBE;199405;157;0;74;834.6;291.8;6.7;-1.1;17.1;80.7;5841
SBE;199406;238;0;65;840.4;115.3;10.9;1.8;22.8;66.6;9793
SBE;199407;251;0;56;841.5;158.6;14.8;6.5;24.3;71.3;12657
SBE;199408;200;0;51;839.8;210.1;13.5;5.9;24.6;73.5;10770
SBE;199409;109;0;76;837.4;370.2;8.1;-1.7;16.5;84.3;5609
SBE;199410;104;0;45;837.0;96.1;4.1;-4.4;17.4;76.5;8178
SBE;199411;55;0;63;839.2;124.1;4.6;-1.4;15.5;68.7;4452
SBE;199412;54;3;44;837.9;37.4;-0.9;-10.8;14.7;67.9;6060
SBE;199501;65;45;58;832.8;113.4;-5.8;-17.8;2.3;71.9;5359
SBE;199502;93;68;56;834.0;81.3;-1.4;-11.0;9.9;70.8;5924
SBE;199503;168;69;53;831.1;37.1;-2.9;-13.0;10.9;63.5;10080
SBE;199504;185;9;68;833.7;212.2;3.0;-5.7;14.1;68.8;8839
SBE;199505;199;0;63;835.6;197.2;6.6;-2.8;17.9;69.5;8326
SBE;199506;201;0;70;836.5;124.9;8.8;0.3;21.5;71.9;7565
